Unnamed: 0,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,Predicted Total
145,2016-04-26,2016-04-26 00:00:00,60.1,46.9,0.24,1997.0,3520,4559.0,2929.0,13005,8868.42039524578
146,2016-04-27,2016-04-27 00:00:00,62.1,46.9,0.0,3343.0,5606,6577.0,4388.0,19914,15859.552685814091
147,2016-04-28,2016-04-28 00:00:00,57.9,48.0,0.0,2486.0,4152,5336.0,3657.0,15631,14232.280820973205
148,2016-04-29,2016-04-29 00:00:00,57.0,46.9,0.05,2375.0,4178,5053.0,3348.0,14954,12531.891485273314
149,2016-04-30,2016-04-30 00:00:00,64.0,48.0,0.0,3199.0,4952,5675.0,3606.0,17432,16519.02605260872
150,2016-04-01,2016-04-01 00:00:00,78.1,66.0,0.01,1704.0,3126,4115.0,2552.0,11497,20779.60422971085
151,2016-04-02,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922,9461.907111099577
152,2016-04-03,2016-04-03 00:00:00,39.9,34.0,0.09,526.0,1232,1695.0,1306.0,4759,8071.452947969283
153,2016-04-04,2016-04-04 00:00:00,44.1,33.1,0.47,521.0,1067,1440.0,1307.0,4335,3867.310518121204
154,2016-04-05,2016-04-05 00:00:00,42.1,26.1,0.0,1416.0,2617,3081.0,2357.0,9471,10831.343414510517
155,2016-04-06,2016-04-06 00:00:00,45.0,30.0,0.0,1885.0,3329,3856.0,2849.0,11919,11395.069588494009
156,2016-04-07,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596,11107.122805233052
157,2016-04-08,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744,10856.229873890199
158,2016-04-09,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510,8533.123135472524
159,2016-04-10,2016-04-10 00:00:00,48.9,30.9,0.0,1447.0,2387,3132.0,2160.0,9126,12475.975201399697
160,2016-04-11,2016-04-11 00:00:00,62.1,46.0,0.01,2005.0,3791,4334.0,3182.0,13312,15583.70884863999
161,2016-04-12,2016-04-12 00:00:00,57.0,45.0,0.2,1045.0,2178,2762.0,2082.0,8067,9073.013861734162
162,2016-04-13,2016-04-13 00:00:00,57.0,39.9,0.0,2840.0,5395,5995.0,4192.0,18422,14516.327939660609
163,2016-04-14,2016-04-14 00:00:00,62.1,44.6,0.0,2861.0,5309,6030.0,4115.0,18315,16048.662894406902
164,2016-04-15,2016-04-15 00:00:00,64.0,44.1,0.0,2770.0,5072,5816.0,3912.0,17570,16854.408707086164
165,2016-04-16,2016-04-16 00:00:00,66.0,45.0,0.0,2384.0,4316,5624.0,4051.0,16375,17616.332102673194
166,2016-04-17,2016-04-17 00:00:00,73.9,46.0,0.0,3147.0,4969,5867.0,4197.0,18180,21256.019066056357
167,2016-04-18,2016-04-18 00:00:00,81.0,52.0,0.0,3871.0,6823,7432.0,4964.0,23090,24511.545332488444
168,2016-04-19,2016-04-19 00:00:00,71.1,63.0,0.0,3501.0,6951,7834.0,5032.0,23318,18185.66396390643
169,2016-04-20,2016-04-20 00:00:00,68.0,50.0,0.0,3450.0,6574,7639.0,4928.0,22591,18027.716871972338
170,2016-04-21,2016-04-21 00:00:00,71.1,50.0,0.0,3436.0,6452,7426.0,4813.0,22127,19445.81299612917
171,2016-04-22,2016-04-22 00:00:00,78.1,63.0,0.0,2975.0,4907,6093.0,3862.0,17837,21576.771528519672
172,2016-04-23,2016-04-23 00:00:00,70.0,61.0,0.16,2055.0,3276,4856.0,3239.0,13426,12542.508867787437
173,2016-04-24,2016-04-24 00:00:00,68.0,48.0,0.0,2798.0,4650,5335.0,3957.0,16740,18214.49695930603
174,2016-04-25,2016-04-25 00:00:00,66.9,54.0,0.0,3463.0,5978,6845.0,4564.0,20850,17191.699793819353
175,2016-04-26,2016-04-26 00:00:00,60.1,46.9,0.24,1997.0,3520,4559.0,2929.0,13005,8868.42039524578
176,2016-04-27,2016-04-27 00:00:00,62.1,46.9,0.0,3343.0,5606,6577.0,4388.0,19914,15859.552685814091
177,2016-04-28,2016-04-28 00:00:00,57.9,48.0,0.0,2486.0,4152,5336.0,3657.0,15631,14232.280820973205
178,2016-04-29,2016-04-29 00:00:00,57.0,46.9,0.05,2375.0,4178,5053.0,3348.0,14954,12531.891485273314
179,2016-04-30,2016-04-30 00:00:00,64.0,48.0,0.0,3199.0,4952,5675.0,3606.0,17432,16519.02605260872
180,2016-04-01,2016-04-01 00:00:00,78.1,66.0,0.01,1704.0,3126,4115.0,2552.0,11497,20779.60422971085
181,2016-04-02,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922,9461.907111099577
182,2016-04-03,2016-04-03 00:00:00,39.9,34.0,0.09,526.0,1232,1695.0,1306.0,4759,8071.452947969283
183,2016-04-04,2016-04-04 00:00:00,44.1,33.1,0.47,521.0,1067,1440.0,1307.0,4335,3867.310518121204
184,2016-04-05,2016-04-05 00:00:00,42.1,26.1,0.0,1416.0,2617,3081.0,2357.0,9471,10831.343414510517
185,2016-04-06,2016-04-06 00:00:00,45.0,30.0,0.0,1885.0,3329,3856.0,2849.0,11919,11395.069588494009
186,2016-04-07,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596,11107.122805233052
187,2016-04-08,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744,10856.229873890199
188,2016-04-09,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510,8533.123135472524
189,2016-04-10,2016-04-10 00:00:00,48.9,30.9,0.0,1447.0,2387,3132.0,2160.0,9126,12475.975201399697
190,2016-04-11,2016-04-11 00:00:00,62.1,46.0,0.01,2005.0,3791,4334.0,3182.0,13312,15583.70884863999
191,2016-04-12,2016-04-12 00:00:00,57.0,45.0,0.2,1045.0,2178,2762.0,2082.0,8067,9073.013861734162
192,2016-04-13,2016-04-13 00:00:00,57.0,39.9,0.0,2840.0,5395,5995.0,4192.0,18422,14516.327939660609
193,2016-04-14,2016-04-14 00:00:00,62.1,44.6,0.0,2861.0,5309,6030.0,4115.0,18315,16048.662894406902
194,2016-04-15,2016-04-15 00:00:00,64.0,44.1,0.0,2770.0,5072,5816.0,3912.0,17570,16854.408707086164
195,2016-04-16,2016-04-16 00:00:00,66.0,45.0,0.0,2384.0,4316,5624.0,4051.0,16375,17616.332102673194
196,2016-04-17,2016-04-17 00:00:00,73.9,46.0,0.0,3147.0,4969,5867.0,4197.0,18180,21256.019066056357
197,2016-04-18,2016-04-18 00:00:00,81.0,52.0,0.0,3871.0,6823,7432.0,4964.0,23090,24511.545332488444
198,2016-04-19,2016-04-19 00:00:00,71.1,63.0,0.0,3501.0,6951,7834.0,5032.0,23318,18185.66396390643
199,2016-04-20,2016-04-20 00:00:00,68.0,50.0,0.0,3450.0,6574,7639.0,4928.0,22591,18027.716871972338
200,2016-04-21,2016-04-21 00:00:00,71.1,50.0,0.0,3436.0,6452,7426.0,4813.0,22127,19445.81299612917
201,2016-04-22,2016-04-22 00:00:00,78.1,63.0,0.0,2975.0,4907,6093.0,3862.0,17837,21576.771528519672
202,2016-04-23,2016-04-23 00:00:00,70.0,61.0,0.16,2055.0,3276,4856.0,3239.0,13426,12542.508867787437
203,2016-04-24,2016-04-24 00:00:00,68.0,48.0,0.0,2798.0,4650,5335.0,3957.0,16740,18214.49695930603
204,2016-04-25,2016-04-25 00:00:00,66.9,54.0,0.0,3463.0,5978,6845.0,4564.0,20850,17191.699793819353
205,2016-04-26,2016-04-26 00:00:00,60.1,46.9,0.24,1997.0,3520,4559.0,2929.0,13005,8868.42039524578
206,2016-04-27,2016-04-27 00:00:00,62.1,46.9,0.0,3343.0,5606,6577.0,4388.0,19914,15859.552685814091
207,2016-04-28,2016-04-28 00:00:00,57.9,48.0,0.0,2486.0,4152,5336.0,3657.0,15631,14232.280820973205
208,2016-04-29,2016-04-29 00:00:00,57.0,46.9,0.05,2375.0,4178,5053.0,3348.0,14954,12531.891485273314
209,2016-04-30,2016-04-30 00:00:00,64.0,48.0,0.0,3199.0,4952,5675.0,3606.0,17432,16519.02605260872
